Total spots:1347,Filled:326,Empty:1021,
14B,17,14,3
14s,18,15,3
23,42,26,16
25,49,31,18
31A,32,16,16
32,68,58,10
4,95,87,8
42A,48,39,9
42L,21,21,0
44,132,85,47
48,54,52,2
48AD,110,93,17
48PT,27,25,2
48Y,56,38,18
4B,19,19,0
57,44,40,4
69,22,19,3
71,42,27,15
75,125,92,33
76,30,20,10
77B,44,29,15
77BA,36,30,6
77BS,20,13,7
8,0,0,0
93,21,12,9
c3,88,61,27
c4,69,52,17
MC,18,7,11
